FECHA INICIO;FECHA TERMINO;CONCEPTO;LINE;KEY Equipment;UNIDAD;CONSUMO;ID;ID Unico;ID FABRICACION
1/04/2024;7/04/2024;AGUA;UTILITIES;CLIMATIZADO SECTOR SMD2;[m3];16,71246977;218;218.2;HUMEDAD
1/04/2024;7/04/2024;AGUA;UTILITIES;Cocina;[m3];26,05027005;219;219.2;unitario
1/04/2024;7/04/2024;AGUA;UTILITIES;Complejo deportivo;[m3];27,32159719;220;220.2;unitario
1/04/2024;7/04/2024;AGUA;OTROS;CONSUMO FABRICA;[m3];211,2828237;221;221.2;
1/04/2024;7/04/2024;AGUA;UTILITIES;Duchas;[m3];63,8169739;222;222.2;unitario
1/04/2024;7/04/2024;AGUA;SMD;E62;[m3];0;412;412.2;GRUPO 62
1/04/2024;7/04/2024;AGUA;SMD;E63;[m3];0;413;413.2;GRUPO 63
1/04/2024;7/04/2024;AGUA;UTILITIES;Entrada Planta Riles;[m3];229,5;302;302.2;unitario
1/04/2024;7/04/2024;AGUA;UTILITIES;Entretecho Cocina 1;[m3];32;295;295.2;unitario
1/04/2024;7/04/2024;AGUA;UTILITIES;Entretecho Cocina 2;[m3];4;296;296.2;unitario
1/04/2024;7/04/2024;AGUA;UTILITIES;Estanque Agua Caliente (rojo);[m3];0;297;297.2;
1/04/2024;7/04/2024;AGUA;UTILITIES;Estanque Vacio;[m3];0;223;223.2;unitario
1/04/2024;7/04/2024;AGUA;OTROS;MATRIZ PMD;[m3];32,24848728;224;224.2;
1/04/2024;7/04/2024;AGUA;UTILITIES;MEDIDOR GENERAL;[m3];464,2886279;225;225.2;MCE
1/04/2024;7/04/2024;AGUA;UTILITIES;Of. Produccion;[m3];3,715266545;255;255.2;unitario
1/04/2024;7/04/2024;AGUA;UTILITIES;Osmosis_Ppal_Consumida;[m3];0;352;352.2;
1/04/2024;7/04/2024;AGUA;UTILITIES;Osmosis_Ppal_Entrada;[m3];0,649373663;353;353.2;
1/04/2024;7/04/2024;AGUA;UTILITIES;Osmosis_Ppal_Rechazo;[m3];0,014141117;354;354.2;
1/04/2024;7/04/2024;AGUA;UTILITIES;Osmosis_Ppal_Reciclada;[m3];0;355;355.2;
1/04/2024;7/04/2024;AGUA;UTILITIES;Otros Agua Blanda PMD;[m3];40;332;332.2;
1/04/2024;7/04/2024;AGUA;UTILITIES;Otros Caldera;[m3];72,6409721;333;333.2;
1/04/2024;7/04/2024;AGUA;UTILITIES;Otros Entretecho Cocina 1;[m3];1,949729954;334;334.2;
